2200/10000  err=3.70e-14
2210/10000  err=3.69e-14
2220/10000  err=3.67e-14
2230/10000  err=3.65e-14
2240/10000  err=3.64e-14
2250/10000  err=3.62e-14
2260/10000  err=3.60e-14
2270/10000  err=3.59e-14
2280/10000  err=3.57e-14
2290/10000  err=3.56e-14
2300/10000  err=3.54e-14
2310/10000  err=3.52e-14
2320/10000  err=3.51e-14
2330/10000  err=3.49e-14
2340/10000  err=3.48e-14
2350/10000  err=3.46e-14
2360/10000  err=3.45e-14
2370/10000  err=3.43e-14
2380/10000  err=3.42e-14
2390/10000  err=3.40e-14
2400/10000  err=3.39e-14
2410/10000  err=3.37e-14
2420/10000  err=3.36e-14
2430/10000  err=3.35e-14
2440/10000  err=3.33e-14
2450/10000  err=3.32e-14
2460/10000  err=3.30e-14
2470/10000  err=3.29e-14
2480/10000  err=3.28e-14
2490/10000  err=3.26e-14
2500/10000  err=3.25e-14
2510/10000  err=3.24e-14
2520/10000  err=3.22e-14
2530/10000  err=3.21e-14
2540/10000  err=3.20e-14
2550/10000  err=3.19e-14
2560/10000  err=3.17e-14
2570/10000  err=3.16e-14
2580/10000  err=3.15e-14
2590/10000  err=3.14e-14
2600/10000  err=3.12e-14
2610/10000  err=3.11e-14
2620/10000  err=3.10e-14
2630/10000  err=3.09e-14
2640/10000  err=3.08e-14
2650/10000  err=3.06e-14
2660/10000  err=3.05e-14
2670/10000  err=3.04e-14
2680/10000  err=3.03e-14
2690/10000  err=3.02e-14
2700/10000  err=3.01e-14
2710/10000  err=2.99e-14
2720/10000  err=2.98e-14
2730/10000  err=2.97e-14
2740/10000  err=2.96e-14
2750/10000  err=2.95e-14
2760/10000  err=2.94e-14
2770/10000  err=2.93e-14
2780/10000  err=2.92e-14
2790/10000  err=2.91e-14
2800/10000  err=2.90e-14
2810/10000  err=2.89e-14
2820/10000  err=2.88e-14
2830/10000  err=2.87e-14
2840/10000  err=2.86e-14
2850/10000  err=2.85e-14
2860/10000  err=2.84e-14
2870/10000  err=2.83e-14
2880/10000  err=2.82e-14
2890/10000  err=2.81e-14
2900/10000  err=2.80e-14
2910/10000  err=2.79e-14
2920/10000  err=2.78e-14
2930/10000  err=2.77e-14
2940/10000  err=2.76e-14
2950/10000  err=2.75e-14
2960/10000  err=2.74e-14
2970/10000  err=2.73e-14
2980/10000  err=2.72e-14
2990/10000  err=2.71e-14
3000/10000  err=2.70e-14
3010/10000  err=2.69e-14
3020/10000  err=2.68e-14
3030/10000  err=2.67e-14
3040/10000  err=2.67e-14
3050/10000  err=2.66e-14
3060/10000  err=2.65e-14
3070/10000  err=2.64e-14
3080/10000  err=2.63e-14
3090/10000  err=2.62e-14
3100/10000  err=2.61e-14
3110/10000  err=2.60e-14
3120/10000  err=2.60e-14
3130/10000  err=2.59e-14
3140/10000  err=2.58e-14
3150/10000  err=2.57e-14
3160/10000  err=2.56e-14
3170/10000  err=2.55e-14
3180/10000  err=2.55e-14
3190/10000  err=2.54e-14
3200/10000  err=2.53e-14
3210/10000  err=2.52e-14
3220/10000  err=2.51e-14
