step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.83,97.1834,-0.8869,-5.3523,102.5356,57.8633,-6.0202,193.6051,193.6051
1,0.84,96.7350,-0.2940,-5.3547,102.0897,61.4688,-6.6546,190.0920,190.0920
2,0.84,95.4475,-0.2944,-5.3519,100.7993,49.5068,-7.4671,173.2122,173.2122
3,0.85,95.2961,-0.0160,-5.3606,100.6567,62.8896,-7.5326,175.4982,175.4982
4,0.83,94.4748,-0.0117,-5.3327,99.8075,54.0312,-8.6022,171.4478,171.4478
5,0.84,94.2210,+0.1092,-5.3606,99.5816,50.8193,-8.7777,175.2969,175.2969
6,0.84,93.3058,-0.0260,-5.3711,98.6769,47.6455,-9.9488,182.1636,182.1636
7,0.83,93.1853,+0.0254,-5.3933,98.5786,34.0596,-9.6116,172.4843,172.4843
8,0.83,92.8735,-0.3451,-5.4023,98.2758,51.9648,-10.1882,200.0620,200.0620
9,0.84,91.8053,+0.0536,-5.4161,97.2214,56.7930,-10.8571,187.9118,187.9118
10,0.84,92.1927,+0.1533,-5.4173,97.6100,51.8428,-10.3411,190.5252,190.5252
11,0.84,91.7979,-0.5140,-5.4227,97.2206,33.0898,-10.8059,195.6378,195.6378
12,0.84,91.1021,-0.6342,-5.4252,96.5273,43.8350,-11.3571,198.2445,198.2445
13,0.84,91.1484,+0.3616,-5.4551,96.6034,32.2637,-10.7350,187.7069,187.7069
14,0.84,90.7896,+0.4776,-5.4619,96.2515,43.1807,-10.5723,175.5840,175.5840
15,0.84,90.5523,-0.2213,-5.4689,96.0212,36.6006,-11.1470,187.2095,187.2095
16,0.84,90.0823,+0.2350,-5.4733,95.5557,43.3979,-11.6048,192.7976,192.7976
17,0.84,89.3537,-0.0938,-5.4563,94.8099,33.7583,-12.5338,201.3756,201.3756
18,0.85,88.6557,+0.0480,-5.4723,94.1280,34.4390,-13.1028,203.0615,203.0615
19,0.85,88.2173,+0.4258,-5.4864,93.7037,34.5864,-12.7692,195.6681,195.6681
20,0.85,87.8657,-0.2226,-5.5032,93.3689,31.5532,-12.7227,197.6624,197.6624
21,0.85,87.5523,+0.0095,-5.4978,93.0501,37.8423,-12.6815,191.7036,191.7036
22,0.84,86.9115,+0.1581,-5.5102,92.4217,27.6357,-13.2374,191.4933,191.4933
23,0.86,86.3264,+0.4739,-5.5101,91.8365,29.3594,-13.2296,177.6186,177.6186
24,0.85,86.2237,+0.5007,-5.5166,91.7402,27.5591,-13.1132,180.1398,180.1398
25,0.83,85.9801,+0.4323,-5.5207,91.5008,26.8164,-13.7621,183.4684,183.4684
26,0.85,85.0960,-0.1300,-5.5171,90.6131,37.1567,-14.5736,178.0306,178.0306
27,0.84,85.4376,-0.1919,-5.5370,90.9746,35.3013,-13.9600,183.1586,183.1586
28,0.84,84.8636,-0.1508,-5.5443,90.4079,33.6997,-14.1525,177.5329,177.5329
29,0.85,84.6764,-0.2675,-5.5406,90.2170,27.5347,-14.2598,181.7291,181.7291
30,0.87,84.7515,-0.3874,-5.5617,90.3132,26.7251,-13.4521,171.1921,171.1921
31,0.86,84.0973,-0.3647,-5.5928,89.6901,25.2964,-13.6889,169.6618,169.6618
32,0.84,83.6199,-0.2822,-5.6300,89.2499,23.0918,-13.8994,173.1935,173.1935
33,0.84,83.5168,-0.3094,-5.6319,89.1487,37.6245,-13.5160,168.2325,168.2325
34,0.85,82.7534,-0.3409,-5.6473,88.4006,23.8940,-14.1157,170.1394,170.1394
35,0.84,83.3968,-0.5643,-5.6565,89.0533,26.3423,-13.3803,178.1487,178.1487
36,0.84,82.3028,-0.3415,-5.6442,87.9470,27.5371,-14.5291,177.3743,177.3743
37,0.84,81.8030,-0.2571,-5.6404,87.4434,34.4028,-14.9676,168.4868,168.4868
38,0.84,81.6177,-0.1282,-5.6602,87.2778,35.2783,-14.8745,169.0469,169.0469
39,0.84,81.3391,-0.6638,-5.6804,87.0195,25.4785,-14.5283,167.6139,167.6139
40,0.84,81.1763,-0.4749,-5.6877,86.8639,24.8042,-14.4247,175.5445,175.5445
41,0.85,81.1165,-0.4010,-5.7025,86.8190,29.2773,-14.3677,190.2874,190.2874
42,0.85,80.3107,-0.2841,-5.6999,86.0107,33.6909,-15.1464,188.0254,188.0254
43,0.84,80.3212,-0.0437,-5.7181,86.0393,33.7676,-15.0365,195.8914,195.8914
44,0.84,79.9791,+0.3562,-5.7426,85.7217,31.9233,-14.9712,180.9105,180.9105
45,0.84,79.1386,+0.3186,-5.7793,84.9180,35.7598,-14.9924,173.3724,173.3724
46,0.84,79.2516,-0.0501,-5.7580,85.0096,30.0054,-15.0336,172.4879,172.4879
47,0.84,78.9319,-0.5374,-5.7717,84.7036,35.2412,-15.5445,192.4109,192.4109
48,0.84,78.5426,-0.4841,-5.7679,84.3105,25.4995,-15.6312,179.0652,179.0652
49,0.84,78.4501,-0.4224,-5.7581,84.2083,27.7725,-16.0276,196.0577,196.0577
50,0.86,78.0579,-0.4050,-5.7522,83.8101,42.2158,-16.6479,203.8288,203.8288
51,0.85,78.2410,-0.1265,-5.7509,83.9919,34.9546,-16.4158,197.6674,197.6674
52,0.84,78.0284,-0.2706,-5.7908,83.8192,25.1572,-15.7241,187.5596,187.5596
53,0.85,77.7375,-0.5656,-5.7836,83.5211,32.9639,-15.7131,187.2406,187.2406
54,0.84,76.7597,-0.7314,-5.8132,82.5729,29.1104,-16.3113,212.8669,212.8669
55,0.85,76.9863,-0.6761,-5.8230,82.8092,21.9155,-15.8526,213.3510,213.3510
56,0.84,76.7425,-1.1152,-5.8152,82.5577,26.8486,-16.0725,205.7976,205.7976
57,0.83,76.7710,-0.9536,-5.8011,82.5722,32.4209,-16.2430,212.4726,212.4726
58,0.84,76.5744,-0.8743,-5.7996,82.3740,25.9751,-16.3699,205.3769,205.3769
59,0.85,75.9459,-0.4785,-5.8007,81.7466,31.4653,-16.8300,198.2941,198.2941
60,0.84,75.8377,-0.7671,-5.8147,81.6524,38.5210,-17.4742,221.9408,221.9408
61,0.85,75.4062,-0.8318,-5.8338,81.2400,27.2759,-17.6974,218.9895,218.9895
62,0.84,75.6410,-0.6666,-5.8194,81.4604,35.0459,-18.0418,236.9209,236.9209
63,0.86,74.8639,-0.6843,-5.8289,80.6928,34.6543,-18.4249,230.7321,230.7321
64,0.85,74.4179,-0.9113,-5.8158,80.2337,34.0791,-18.9641,234.6537,234.6537
65,0.84,74.3686,-0.6148,-5.8150,80.1837,42.1777,-19.1859,246.0723,246.0723
66,0.85,74.4723,-0.2134,-5.8043,80.2766,35.8994,-19.2177,241.2256,241.2256
67,0.84,74.0999,-0.3037,-5.8084,79.9083,33.7646,-19.8103,242.2815,242.2815
68,0.85,73.7984,-0.1470,-5.8101,79.6086,37.5679,-19.9834,243.4380,243.4380
69,0.84,74.4657,-0.6395,-5.8045,80.2702,34.5381,-19.2838,254.3756,254.3756
70,0.84,73.8075,-0.6687,-5.7819,79.5894,37.9458,-19.6899,247.6513,247.6513
71,0.84,73.4464,-0.3171,-5.8243,79.2708,39.5518,-19.4484,233.7458,233.7458
72,0.84,73.3316,+0.1646,-5.8573,79.1889,39.1553,-19.2854,243.2912,243.2912
73,0.85,73.4133,-0.3187,-5.8629,79.2762,37.9644,-19.2819,251.5468,251.5468
74,0.85,73.4398,+0.6858,-5.8763,79.3161,52.5610,-19.3247,270.1924,270.1924
75,0.84,73.7750,+0.6741,-5.8534,79.6284,61.1909,-18.8843,264.9816,264.9816
76,0.85,73.2816,+0.3808,-5.8789,79.1605,52.9028,-19.0844,260.6274,260.6274
77,0.83,73.0288,+0.4696,-5.8697,78.8984,47.5815,-19.9143,286.7131,286.7131
78,0.84,72.4961,+0.5358,-5.8828,78.3790,53.4429,-20.4229,290.1607,290.1607
79,0.82,72.3415,+0.6757,-5.8921,78.2336,61.0654,-20.3633,284.7654,284.7654
80,0.85,72.2759,-0.2180,-5.9034,78.1794,78.9248,-20.2552,287.0119,287.0119
81,0.83,71.4343,-0.0078,-5.9244,77.3587,53.7627,-20.7521,287.6849,287.6849
82,0.85,71.4454,+0.3761,-5.9396,77.3850,53.5166,-20.1628,277.8648,277.8648
83,0.84,71.1902,-0.0294,-5.9236,77.1138,57.3955,-20.4344,282.8971,282.8971
84,0.84,71.1146,-0.1331,-5.9274,77.0420,61.5649,-20.5622,283.9039,283.9039
85,0.83,70.3932,+0.1095,-5.9185,76.3117,44.6191,-21.5668,297.9235,297.9235
86,0.84,70.5405,+0.1887,-5.9006,76.4411,55.2476,-21.3561,292.5678,292.5678
87,0.83,70.1449,+0.0871,-5.9074,76.0523,55.3931,-22.4035,324.9457,324.9457
88,0.84,69.5816,-0.1853,-5.9316,75.5133,44.0112,-22.7928,326.4999,326.4999
89,0.83,68.9612,-0.3493,-5.9286,74.8898,51.9438,-23.7589,367.6668,367.6668
90,0.83,69.0337,-0.5412,-5.9384,74.9721,50.8525,-23.5690,365.9272,365.9272
91,0.82,69.0559,-0.3139,-5.9388,74.9947,65.1812,-24.3398,378.5443,378.5443
92,0.81,68.7364,-0.3598,-5.9186,74.6550,67.4004,-24.5708,376.2840,376.2840
93,0.83,68.0770,-0.0725,-5.9472,74.0242,67.1250,-24.4934,361.4007,361.4007
94,0.82,68.0402,+0.7570,-5.9050,73.9452,63.2656,-24.8062,367.1808,367.1808
95,0.85,67.8460,+0.0068,-5.9084,73.7544,49.9121,-25.3028,383.8820,383.8820
96,0.83,67.9897,+0.6545,-5.8994,73.8890,65.5166,-25.5543,420.6343,420.6343
97,0.83,67.6942,+0.4329,-5.9113,73.6056,70.1387,-26.1059,427.5700,427.5700
98,0.82,67.8305,+0.4840,-5.9015,73.7320,76.9746,-26.3177,440.0813,440.0813
99,0.81,67.7229,+0.2692,-5.8968,73.6198,101.3496,-26.3582,437.9543,437.9543
100,0.82,67.4389,+0.5313,-5.8916,73.3306,65.3867,-26.6299,428.8550,428.8550
