step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
61,0.82,63.4548,+0.3029,-8.4737,71.9286,52.2703,+156.9474,24834.4043,4417.8828
62,0.82,62.9605,+0.5962,-8.4672,71.4277,56.7427,+156.1176,24586.8203,4389.2500
63,0.82,62.3590,+0.7338,-8.4748,70.8337,63.8896,+155.2034,24325.3828,4357.8809
64,0.82,61.9412,+0.5764,-8.4725,70.4137,75.7991,+154.7666,24216.0996,4334.9053
65,0.80,61.7039,+0.4374,-8.4726,70.1765,67.4336,+153.8822,23929.3105,4299.6318
66,0.79,60.8940,+0.6160,-8.4665,69.3605,67.6689,+153.1204,23707.7891,4264.1948
67,0.80,60.0908,+0.6762,-8.4540,68.5448,62.4858,+152.0173,23360.6172,4215.3594
68,0.80,59.3962,+0.8974,-8.4487,67.8449,66.6045,+151.4029,23198.9180,4190.2344
69,0.81,59.3075,+0.6841,-8.4660,67.7735,69.7021,+150.6298,22967.6914,4168.5664
70,0.80,59.5800,+0.5128,-8.4720,68.0520,80.1675,+150.5604,22964.5469,4174.0229
71,0.81,59.4920,+0.5023,-8.4649,67.9568,72.6538,+150.2457,22840.4141,4160.6157
72,0.80,58.8614,+0.6079,-8.4589,67.3203,78.2200,+149.1668,22515.5156,4108.1792
73,0.80,58.7341,+0.6354,-8.4475,67.1816,88.7532,+148.7538,22411.9180,4098.3447
74,0.80,58.5939,+1.0333,-8.4381,67.0320,85.2820,+147.9807,22180.9023,4079.8110
75,0.81,57.9653,+1.0767,-8.4180,66.3833,75.7744,+147.2021,21933.5547,4032.6345
76,0.80,57.7269,+1.4389,-8.4031,66.1300,91.9690,+146.8434,21842.3125,4027.8149
77,0.79,57.2283,+0.9024,-8.4083,65.6366,82.7244,+146.2107,21644.5977,4004.8652
78,0.81,57.1130,+1.2821,-8.3831,65.4961,107.6475,+145.9181,21593.7168,3999.3677
79,0.81,57.0875,+1.2577,-8.3727,65.4602,81.0208,+145.3571,21397.4336,3985.3147
80,0.80,57.0985,+1.1158,-8.3808,65.4794,83.5732,+145.1801,21368.1875,3993.8755
81,0.79,57.0096,+1.2581,-8.3742,65.3838,100.4495,+145.0546,21373.1523,3995.0049
82,0.80,56.2080,+1.2710,-8.3690,64.5770,72.0420,+144.2216,21083.1367,3935.9446
83,0.80,56.0605,+0.9706,-8.3555,64.4160,89.6406,+143.4945,20898.6738,3927.4307
84,0.80,55.7635,+0.9745,-8.3628,64.1263,84.4263,+142.8505,20707.9844,3905.9160
85,0.81,55.7148,+0.7142,-8.3492,64.0640,98.0188,+142.4943,20631.1367,3894.3462
86,0.80,55.0057,+0.9299,-8.3437,63.3494,83.4055,+141.3967,20290.6270,3846.2842
87,0.80,54.3569,+0.4292,-8.3344,62.6913,82.7886,+140.3278,20004.2852,3795.3708
88,0.80,54.5932,+0.4588,-8.3339,62.9271,85.3599,+140.3682,20029.3516,3810.6157
89,0.79,54.0870,+0.3121,-8.3241,62.4111,83.9336,+139.5398,19789.0781,3763.7734
90,0.80,53.7941,+0.5925,-8.3299,62.1240,77.9583,+138.9169,19607.7539,3746.3589
91,0.80,53.6571,+1.0304,-8.3276,61.9847,94.6108,+138.4163,19501.7168,3734.2451
92,0.80,53.7369,+0.7454,-8.3218,62.0587,96.3240,+138.0317,19398.1133,3728.2571
93,0.79,53.4055,+0.9440,-8.3162,61.7217,89.1599,+137.3994,19222.2480,3722.2646
94,0.81,53.2801,+0.7071,-8.3195,61.5996,108.2158,+137.0859,19132.7891,3706.3660
95,0.80,52.9058,+0.4689,-8.3143,61.2201,92.8330,+136.4595,18959.4609,3677.2178
96,0.80,52.5742,+0.5343,-8.2995,60.8737,89.0928,+135.7495,18764.4043,3640.3965
