step,pmove,energy,energy_imag,potential,kinetic,variance,Lz,Lz_square,L_square
0,0.83,96.8067,+0.1678,-5.4001,102.2068,73.6904,-6.4200,195.8367,195.8367
1,0.85,96.6409,-0.0510,-5.3781,102.0191,60.2197,-6.7573,190.9044,190.9044
2,0.83,95.5836,+0.9903,-5.3951,100.9787,67.2422,-7.6147,201.4090,201.4090
3,0.83,95.5075,+1.3020,-5.4005,100.9079,52.5684,-7.8738,210.1035,210.1035
4,0.84,95.6859,+1.0413,-5.3829,101.0687,51.8711,-8.3176,220.3519,220.3519
5,0.84,95.4280,+0.6598,-5.3556,100.7837,51.8545,-8.5970,197.4183,197.4183
6,0.85,94.1215,+1.2962,-5.3610,99.4825,66.0801,-9.9198,187.1716,187.1716
7,0.84,93.9483,+1.3080,-5.3842,99.3324,59.7842,-10.0590,193.3407,193.3407
8,0.83,93.9642,+0.9359,-5.3900,99.3542,46.2393,-10.0938,201.3380,201.3380
9,0.82,93.5676,+0.4107,-5.3545,98.9221,48.6992,-10.4844,203.8177,203.8177
10,0.85,93.1384,+0.4209,-5.3727,98.5110,31.3408,-10.6570,199.3564,199.3564
11,0.84,92.4368,-0.0202,-5.3574,97.7942,37.3242,-11.3107,194.8205,194.8205
12,0.83,92.0274,+0.1122,-5.3672,97.3945,38.8945,-11.2609,188.9312,188.9312
13,0.85,91.8791,-0.1430,-5.3734,97.2525,36.6953,-11.8089,219.2534,219.2534
14,0.83,91.8225,+0.8266,-5.3589,97.1814,51.9922,-11.6497,194.6474,194.6474
15,0.84,91.2721,-0.1207,-5.3700,96.6421,48.2383,-12.0236,194.9161,194.9161
16,0.84,90.9313,+0.5013,-5.3545,96.2858,49.3438,-12.4768,201.5929,201.5929
17,0.83,91.3182,+0.2563,-5.3490,96.6673,77.1426,-12.4788,221.2432,221.2432
18,0.83,90.9505,+0.2329,-5.3576,96.3080,53.0283,-12.4725,205.9013,205.9013
19,0.83,90.3788,-0.4775,-5.3501,95.7288,52.2251,-12.9570,220.8936,220.8936
20,0.83,89.4192,+0.5953,-5.3714,94.7906,72.0381,-14.3175,243.2337,243.2337
21,0.81,89.5847,+0.3641,-5.3648,94.9496,47.0537,-14.0303,232.4069,232.4069
22,0.82,89.3978,+0.6955,-5.3552,94.7529,38.9751,-13.8669,224.0429,224.0429
23,0.83,88.7360,-0.0524,-5.3856,94.1216,52.2271,-14.5108,219.2101,219.2101
24,0.84,88.5084,-0.4208,-5.3920,93.9004,58.1299,-14.7412,230.8252,230.8252
